Filename,Model,WER,CER,Cosine_Similarity
00000430-AUDIO-2025-03-11-07-29-35.m4a,vosk-model-en-in-0.5,1.0380952380952382,0.7796052631578947,0.77920675
00000478-AUDIO-2025-03-14-03-57-18.m4a,vosk-model-en-in-0.5,0.9264705882352942,0.6442786069651741,0.46281517
00000548-AUDIO-2025-03-23-11-51-02.m4a,vosk-model-en-in-0.5,0.875,0.6521739130434783,0.13407628
00000564-AUDIO-2025-04-02-10-45-50.m4a,vosk-model-en-in-0.5,0.9824561403508771,0.6879432624113475,0.5325931
00000593-AUDIO-2025-04-11-08-01-11.mp3,vosk-model-en-in-0.5,1.2682926829268293,1.1409691629955947,0.14564618
00000606-AUDIO-2025-04-11-08-01-15.m4a,vosk-model-en-in-0.5,1.4523809523809523,0.9813084112149533,0.16838412
00000648-AUDIO-2025-04-26-08-37-58.m4a,vosk-model-en-in-0.5,1.0535714285714286,0.86,0.52289283
00000724-AUDIO-2025-05-28-03-00-20.m4a,vosk-model-en-in-0.5,2.090909090909091,1.3029045643153527,0.22517657
00000048-AUDIO-2024-11-27-08-10-48.mp3,wav2vec2-base-960h,1.056338028169014,0.6777251184834123,0.36649883
00000056-AUDIO-2024-12-05-05-49-47.m4a,wav2vec2-base-960h,1.0,0.7267267267267268,0.07177368
00000153-AUDIO-2024-12-16-07-23-44.m4a,wav2vec2-base-960h,1.0,0.6077170418006431,0.13181478
00000161-AUDIO-2024-12-19-04-40-49.m4a,wav2vec2-base-960h,1.2432432432432432,0.9279069767441861,0.21360338
00000193-AUDIO-2024-12-19-04-41-13.m4a,wav2vec2-base-960h,1.0,0.7632743362831859,0.08404562
00000284-AUDIO-2025-01-22-08-12-19.m4a,wav2vec2-base-960h,1.7555555555555555,1.2195945945945945,0.12827753
00000341-AUDIO-2025-01-30-07-25-48.mp3,wav2vec2-base-960h,0.9629629629629629,0.6319148936170212,0.098679736
00000368-AUDIO-2025-02-06-04-35-21.m4a,wav2vec2-base-960h,1.704225352112676,1.0949074074074074,0.14088586
00000370-AUDIO-2025-02-06-04-35-22.m4a,wav2vec2-base-960h,1.5161290322580645,0.9175531914893617,0.072211966
00000430-AUDIO-2025-03-11-07-29-35.m4a,wav2vec2-base-960h,1.1428571428571428,0.78125,0.3256015
00000478-AUDIO-2025-03-14-03-57-18.m4a,wav2vec2-base-960h,0.9852941176470589,0.7487562189054726,0.3919325
00000548-AUDIO-2025-03-23-11-51-02.m4a,wav2vec2-base-960h,1.2857142857142858,0.7111801242236024,-0.01127932
00000564-AUDIO-2025-04-02-10-45-50.m4a,wav2vec2-base-960h,1.0,0.8368794326241135,0.081814684
00000593-AUDIO-2025-04-11-08-01-11.mp3,wav2vec2-base-960h,1.2682926829268293,0.7444933920704846,-0.057565525
00000606-AUDIO-2025-04-11-08-01-15.m4a,wav2vec2-base-960h,1.2380952380952381,0.735202492211838,-0.03328113
00000648-AUDIO-2025-04-26-08-37-58.m4a,wav2vec2-base-960h,1.0,0.8171428571428572,0.09941003
00000724-AUDIO-2025-05-28-03-00-20.m4a,wav2vec2-base-960h,2.606060606060606,1.008298755186722,-0.0688682
