Model,WER_Mean,WER_StdDev,CER_Mean,CER_StdDev,Cosine_Similarity_Mean,Cosine_Similarity_StdDev,Medical_Term_Accuracy
Whisper-Large-v3,0.6679193195167159,0.6588566025163388,0.3846193778504053,0.4213850310170452,0.84291166,0.117022395,0.85
parakeet-rnnt-1.1b,0.8148711400530761,0.3164126688789972,0.5241141040978418,0.21764925272630245,0.71470004,0.18840696,0.8
vosk-model-en-in-0.5,1.0682285259652102,0.3065686065313691,0.7771563246588886,0.19637378200517916,0.31961226,0.18972318,0.2
wav2vec2-base-960h,1.2802804851530987,0.4110092465412067,0.8206190329124489,0.16015878629479927,0.11973859,0.13340662,0.0
